Front	Back	Tags
equip	[ɪkˈwɪp] v. <br>（with）装备，配备 点、场所）→起指引作用的→名录 人名地址录，电话号码本	红宝书 基础词 Unit07
equipment	[ɪkˈwɪpmənt] <br>设备，器材，装置 <br><br>【助记】 equip（装备）十ment（名词后缀）→装置	红宝书 基础词 Unit07
equity	[ˈɛkwəti] <br>（公司的）股本，资产净值；（pl.）（公司的）普通股；公平，公正	红宝书 基础词 Unit07
groan	[groʊn] <br>n.呻吟②u.呻吟	红宝书 基础词 Unit07
grocer	[ˈgroʊsər] <br>食品店，食品杂货商	红宝书 基础词 Unit07
grope	[groʊp] <br><br>【助记】 g十rope（绳索）→一个人沿绳索走→摸索摸索，探索；（企图）猥亵（某人）	红宝书 基础词 Unit07
hobby	[ˈhɑbi] <br>业余爱好，嗜好，兴趣 <br><br>【助记】 他的hobby（兴趣）是当一名lobby（说客	红宝书 基础词 Unit07
hollow	[ˈhɑloʊ] <br>adj.空的，空心的；空洞的，空虚的 ut.挖空，凿空	红宝书 基础词 Unit07
homogeneous	[ˌhoʊməˈʤiniəs] <br>同种类的，同性质的，有相同特征的 <br><br>【助记】 homo（同）十gen（生）十eous（形容词后缀）→同生的一同性质的	红宝书 基础词 Unit07
honest	[ˈɑnəst] <br>诚实的，正直的[in'sto:l]ut. 安装，设置	红宝书 基础词 Unit07
installation	[ˌɪnstəˈleɪʃən]	红宝书 基础词 Unit07
instance	[ˈɪnstəns] <br>例子，事件，例证 工宝书 安装 安装，设置；装置，设备 （故事分段连载或连播等的）一集；（分 期付款的）一期付款	红宝书 基础词 Unit07
instant	[ˈɪnstənt] <br>紧急的，急迫的，立即的，即刻的；（食品）已配制好的，速成的，方便的	红宝书 基础词 Unit07
instantaneous	[ˌɪnstənˈtæniəs] <br><br>【助记】 instant（即刻的）十aneous（形容词后缀）→即刻的瞬间发生的，即刻的	红宝书 基础词 Unit07
limb	[lɪm] <br>lmn. 肢，翼，腿；大树枝	红宝书 基础词 Unit07
limp	[lɪmp] <br>adj.软的，松背的；软弱的，无生气的 u.玻行 <br><br>【助记】 跑完五千米后她的limb（腿）是limp（软的）	红宝书 基础词 Unit07
linear	[ˈlɪniər] <br>线的，直线的，线性的[linin]n. <br><br>【助记】 line（线）十ar（形容词后缀）→线的	红宝书 基础词 Unit07
linen	[ˈlɪnən] <br>亚麻布，亚麻布制品 <br><br>【助记】 liner（邮轮）是linen（亚麻布）做的	红宝书 基础词 Unit07
liner	[ˈlaɪnər] <br>班机，邮轮	红宝书 基础词 Unit07
linger	[ˈlɪŋər] vi. <br>逗留，徘徊；延续，慢慢度过	红宝书 基础词 Unit07
linguistic	[lɪŋgˈwɪstɪk] <br><br>【助记】 linguist（语言学家）十ic（形容词后级）一语言学的	红宝书 基础词 Unit07
mine	[maɪn] <br>n.矿，矿山，矿井 v.采矿；布雷，（用雷）炸毁 语言的，语言学的，语言研究的 <br><br>【助记】 mind（留心）mine（矿井）的安全	红宝书 基础词 Unit07
mineral	[ˈmɪnərəl] <br>n.矿物，矿石②adi.矿物的，矿质的 <br><br>【助记】 mine（矿）十r+al（名词形容词后缀）→矿物。	红宝书 基础词 Unit07
mingle	[ˈmɪŋgəl] <br>（使）混合；（使）联合	红宝书 基础词 Unit07
miniature	[ˈmɪnɪˌʧʊr] <br>n.缩小的模型，缩图 adj.微型的，缩小的 <br><br>【助记】 mini（small小的）十ature（名词兼形容词后缀）→缩小的	红宝书 基础词 Unit07
minimize	[ˈmɪnəˌmaɪz] <br>使减少到最少，使降到最低L'minimam的）一起记 n.最低限度，最少量，最低点Ifa man has enough faith,th <br><br>【助记】 maximum（最大的）和minimum（最小	红宝书 基础词 Unit07
norway	[ˈnɔrˌweɪ] <br>如果一个人有足够的信念[挪威	红宝书 基础词 Unit07
minister	[ˈmɪnɪstər] <br><br>【助记】 minist（管理）十er（名词后缀，表示人）→管理者→大臣部长，大臣	红宝书 基础词 Unit07
ministry	[ˈmɪnɪstri] <br>（政府的）部；牧师	红宝书 基础词 Unit07
minor	[ˈmaɪnər] <br>adj.（较）小的；（较）少的；（较）不重要的 n.副修科目；未成年人 ui.（in）副修某科	红宝书 基础词 Unit07
minority	[məˈnɔrəti] <br>少数，少数派；少数民族 <br><br>【助记】 minor（较少的）十ity（名词后缀）→少数	红宝书 基础词 Unit07
minus	[ˈmaɪnəs] <br>adj.负的，减的；零下的 prep.减去；零下 n.负号，减号，负值；缺点，不足	红宝书 基础词 Unit07
minute	[ˈmɪnət] <br>微小的，细微的；详细的，细致的enhe can make the miracle.	红宝书 基础词 Unit07
deo	[ˈdioʊ] <br><br>【助记】 radic（根）ident（同一的）	红宝书 必考词 Unit08
ur	[ər] <br><br>【助记】 magn（大）ob（反对，上面）pan-itude（名词后缀，表“性质，状态”）-ity，-ty（名词后缀，表“性质，状态”）	红宝书 必考词 Unit08
radiate	[ˈreɪdiˌeɪt] <br>radi（ray光线）+ate（使......）一使··发光→辐射 发出，发射出（光、热等），辐射，发射；发散，显露出	红宝书 必考词 Unit08
radiant	[ˈreɪˌdiənt] <br>发光的，辐射的，照耀的；容光焕发的；满面春风的，极漂亮的 <br><br>【助记】 radi（ray光线）十ant（形容词后缀）→发光的	红宝书 必考词 Unit08
radical	[ˈrædɪkəl] <br>adj.根本的，基本的；彻底的；过激的；激进的②n.激进分子 <br><br>【助记】 radic（根）十al（形容词后缀）→根本的	红宝书 必考词 Unit08
object	[ˈɑbʤɛkt] n. <br>想和行动的）对象，客体；目的，宗旨；[语]宾语 [abd3ekt].（to）反对，不赞成	红宝书 必考词 Unit08
objective	[əˈbʤɛktɪv] <br><br>【助记】 object（客体）十ive（形容词后缀，..的)→客观的	红宝书 必考词 Unit08
objection	[əˈbʤɛkʃən] <br>（广泛，全部） adj.客观的，如实的，无偏见的 <br><br>【助记】 object（反对）十ion（名词后缀）→反对反对，异议	红宝书 必考词 Unit08
obligation	[ˌɑbləˈgeɪʃən] <br><br>【助记】 oblig（e）（迫使）十ation（名词后缀）→迫使要做的→责任义务，责任	红宝书 必考词 Unit08
oblige	[əˈblaɪʤ] vt. <br>强迫，迫使；施恩惠于，帮······的忙；使感激	红宝书 必考词 Unit08
obscure	[əbˈskjʊr] <br>ut.使变暗，遮蔽；使变模糊，混淆 adj.费解的，不分明的；不著名的，无名的	红宝书 必考词 Unit08
observation	[ˌɑbzərˈveɪʃən] <br>观察，观测，监视；言论；观察资料或报告 <br><br>【助记】 observ（e）（观察）+ation（名词）→观察	红宝书 必考词 Unit08
observe	[əbˈzərv] v. <br>31	红宝书 必考词 Unit08
obsession	[əbˈsɛʃən] <br>迷住，牵挂，惦念；索绕于心的事物或人 观察，注意到；遵守，奉行（规则、法律 习俗等）；（尤指就注意到或深思熟虑 之事）说话，评论，评述 <br><br>【助记】 obsess（迷住）十ion（名词后缀）一迷住	红宝书 必考词 Unit08
obsolete	[ˌɑbsəˈlit] <br>废弃的，淘汰的；过时的，陈旧的	红宝书 必考词 Unit08
obtain	[əbˈteɪn] vt. <br>获得，得到；存在，流行，沿袭	红宝书 必考词 Unit08
obvious	[ˈɑbviəs] <br><br>【助记】 ob（上面）十vi（看）十ous（形容词后缀）→能从上面看见的→明显的明显的，显而易见的；平淡无奇的，不必要的	红宝书 必考词 Unit08
ideal	[aɪˈdil] <br>adj.理想的，完美的；空想的，理想主义的，想象的②n.理想 <br><br>【助记】 deal（做生意）前加“i”才是ideal（理想的）	红宝书 必考词 Unit08
ideology	[ˌaɪdiˈɑləʤi] <br>思想意识，观念形态，思想方式，思想体系 <br><br>【助记】 ideo（思想，观点）十logy（名词后缀表示学问、科学）→思想上的学问→思想意识	红宝书 必考词 Unit08
identical	[aɪˈdɛntɪkəl] <br>同一的；（完全）相同的，一模一样的 <br><br>【助记】 ident（同一的）十ical（形容词后缀）一同一的	红宝书 必考词 Unit08
identification	[aɪˌdɛntəfəˈkeɪʃən] <br><br>【助记】 identif（y）（鉴别）十ication（名词后级）→鉴别识别，鉴别，确认；身份证明	红宝书 必考词 Unit08
identify	[aɪˈdɛntəˌfaɪ] <br><br>【助记】 ident（同一的）十ify（使··.……）→使一样→使等同于	红宝书 必考词 Unit08
identity	[aɪˈdɛntəˌti] <br>相同性，一致（性）；本身，本体；身份 认为·等同于，使等同于；识别，鉴 别，确认，认出 <br><br>【助记】 ident（同一的）十ity（名词后缀）→相同性	红宝书 必考词 Unit08
journal	[ˈʤərnəl] <br>（尤指某学科或专业的）定期刊物，杂志，报纸；日志，日记	红宝书 必考词 Unit08
journalist	[ˈʤərnəlɪst] <br>记者，新闻工作者 <br><br>【助记】 journal（杂志）十ist（表示人）→杂志社的人→记者	红宝书 必考词 Unit08
journey	[ˈʤərni] <br>n.旅行，旅程②vi.旅行	红宝书 必考词 Unit08
judge	[ʤəʤ] <br>n.法官，审判员；裁（评）判员；鉴赏家 ut.审判，判决；评定，裁判；断定，判断judg(e)ment[d3ad3montn.审判 审判（多作不可数），判决；判断力，识别，看法 <br><br>【助记】 judg（判断）+e（词尾）→审判 judg（e）（审判）+ment（名词后缀）→	红宝书 必考词 Unit08
judicial	[ʤuˈdɪʃəl] <br>法庭的，司法的，审判的；公正的，明断的 <br><br>【助记】 judic（判断）十ial（形容词后缀）→审判的	红宝书 必考词 Unit08
jury	[ˈʤʊri] <br>陪审团，全体陪审员，评判委员会 <br><br>【助记】 jur（发誓，法律）十y（名词后缀）→听人讲法律→陪审团	红宝书 必考词 Unit08
jurisdiction	[ˌʤʊrɪsˈdɪkʃən] <br>司法权，审判权，管辖权；管辖区域，管辖范围	红宝书 必考词 Unit08
justice	[ˈʤəstɪs] <br>公平，公正，合理；审判，司法（制度），法律制裁；法官 <br><br>【助记】 just（公正的）十ice（名词后缀）→公正	红宝书 必考词 Unit08
justify	[ˈʤəstəˌfaɪ] vt. <br>证明·····正当（或有理、正确） <br><br>【助记】 just（公正的）十ify（动词后缀，使··...·）一使成为公正的一证明.·····正当	红宝书 必考词 Unit08
label	[ˈleɪbəl] <br>n.标签，标记，标号 ut.（as）加标签于；把.…·…称为，把·……·归类为	红宝书 必考词 Unit08
lag	[læg] v. <br>走得慢，落后，滞留；给（管道等）加保温层 <br><br>【助记】 lad（小伙子）lap（大腿）痛，在lab（实验 室）lag（走得慢）	红宝书 必考词 Unit08
largely	[ˈlɑrʤli] <br>大量地，大规模地；主要地，基本上 <br><br>【助记】 large（大的）+ly（副词后缀）→大量地	红宝书 必考词 Unit08
lateral	[ˈlætərəl] <br><br>【助记】 later（=side边，侧）十al（形容词后缀）→旁边的侧面的，旁边的，横向的	红宝书 必考词 Unit08
latter	[ˈlætər] <br>adj.后一半的，末了的②pron.后者	红宝书 必考词 Unit08
law	[lɔ] <br>法律，法令，法规；法则，规律，定律	红宝书 必考词 Unit08
lawsuit	[ˈlɔˌsut] <br>诉讼，起诉	红宝书 必考词 Unit08
magnitude	[ˈmægnəˌtud] <br>巨大，广大；星等；震级；重大，重要性 <br><br>【助记】 magn（大）+itude（名词后缀）→巨大	红宝书 必考词 Unit08
magnify	[ˈmægnəˌfaɪ] <br><br>【助记】 magn（大）+ify（动词后缀，使......）使变大→放大	红宝书 必考词 Unit08
magnificent	[mægˈnɪfɪsənt] <br>壮观的，壮丽的，宏伟的 放大，扩大；夸大，夸张 <br><br>【助记】 magn（大）+ific（做）十ent（形容词后缀，····的）→做得大大的→宏伟的，壮观的	红宝书 必考词 Unit08
maintain	[meɪnˈteɪn] <br><br>【助记】 main（手）+tain（握）→握住→维持维持，保持；维修，保养；赡养，供给；坚持，主张	红宝书 必考词 Unit08
maintenance	[ˈmeɪntənəns] <br><br>【助记】 main（手）+ten（tein握）+ance（名词后缀）→握在手中→维持（状态、进程等的）维持，保持；（建筑物、机器、道路等的）维修，保养；（依法应负担的）生活费，赡养费	红宝书 必考词 Unit08
major	[ˈmeɪʤər] <br>adj.（较)大的，(较)重要的 n.专业，主修科；专业学生；少校 u.（in）主修，专攻	红宝书 必考词 Unit08
majority	[məˈʤɔrəti] <br><br>【助记】 major（大的）十ity（名词后缀）→大多数多数，大多数；半数以上；票数差距，多得的票数；法定年龄；成年	红宝书 必考词 Unit08
make	[meɪk] vt. <br>做，制造；构成，组成；成为，使成为；强迫，迫使 <br><br>【助记】 male（男性）更适合make（制造）业	红宝书 必考词 Unit08
theme	[θim] <br>（演讲、文章或术作品等的）主题，题目，中心思想 <br><br>【助记】 them（他们）there（在那里）做theme（主题）演讲	红宝书 必考词 Unit08
theory	[ˈθɪri] <br>理论，原理；学说，见解，看法	红宝书 必考词 Unit08
theoretical	[ˌθiərˈɛtɪkəl] <br>理论上的；假设的 <br><br>【助记】 theor（y）（理论）十etic（形容词后缀） 十al（形容词后缀）→理论上的	红宝书 必考词 Unit08
therapy	[ˈθɛrəpi] <br>（治）疗法，理疗	红宝书 必考词 Unit08
qualification	[kˌwɑləfəˈkeɪʃən] <br>资格，合格；限定，限制性条件；合格证 <br><br>【助记】 quali（资格）+fic（make使）+ation（名词后缀）→资格	红宝书 必考词 Unit08
qualify	[kˈwɑləˌfaɪ] <br>使具有资格，证明合格，使有权（做某事）；限制，限定，修饰 <br><br>【助记】 quali（资格）+fy（动词后缀，使.…..…→使具有资格	红宝书 必考词 Unit08
quality	[kˈwɑləti] <br>质量，品级；性质，特性；品德，品质优质，上乘 <br><br>【助记】 qual（某性质的）十ity（名词后缀，表示性质、状态）→性质	红宝书 必考词 Unit08
qualitative	[kˈwɑləˌteɪtɪv] <br>性质上的，质量的 <br><br>【助记】 qualit（y）（质量）+ative（形容词后缀）→质量的	红宝书 必考词 Unit08
safeguard	[ˈseɪfˌgɑrd] <br>ut.维护，保护，捍卫 n.防护措施，安全措施 <br><br>【助记】 safe（安全）+guard（保护）→维护保护	红宝书 必考词 Unit08
safety	[ˈseɪfti] <br>安全，保险；安全性；安全场所 <br><br>【助记】 safe（安全）十ty（名词后缀）→安全	红宝书 必考词 Unit08
savage	[ˈsævɪʤ] <br>adj.野蛮的，未开化的；凶恶的，残暴的 n.未开化的人，野蛮人③ut.猛烈34。	红宝书 必考词 Unit08
save	[seɪv] <br>救，拯救；储蓄，贮存；节省 击，激烈批评；（动物等）凶猛地攻击 <br><br>【助记】 save（拯救）wave（挥手）求救的落水者	红宝书 必考词 Unit08
saving	[ˈseɪvɪŋ] <br>节约，节俭；（pl.）储蓄金，存款	红宝书 必考词 Unit08
scale	[skeɪl] <br>刻度，标度；天平，磅秤；比例，比例尺；规模，程度；范围	红宝书 必考词 Unit08
scene	[sin] <br>景色，景象；舞台（多用于比喻），（戏）一场；（事件发生的）现场，地点	红宝书 必考词 Unit08
scenery	[ˈsinəri] <br>风景；舞台布景	红宝书 必考词 Unit08
pace	[peɪs] <br>n.步，步速，步伐；速度，节奏 u.方步，步于 <br><br>【助记】 寄pack（包裹）的pace（速度）要达到 pact（合同）中规定的要求	红宝书 必考词 Unit08
panel	[ˈpænəl] <br>面，板；控制板，仪表盘；专门小组	红宝书 必考词 Unit08
panorama	[ˌpænərˈæmə] <br><br>【助记】 pan（whole全部）+orama（see看）→全部看见→全景全景，全景画，全景摄影；概论，概述，概观	红宝书 必考词 Unit08
prove	[pruv] vt. <br>证明，证实；检验，考验，鉴定；结果是，表明是；展现，显示（自己的才能）	红宝书 必考词 Unit08
provide	[prəˈvaɪd] <br><br>【助记】 provided（倘若）去掉“d”就是provide（规定）提供，供给，给予；(法律或协议）规定	红宝书 必考词 Unit08
provided	[prəˈvaɪdɪd] <br>倘若，只要，假如，在···条件下	红宝书 必考词 Unit08
naked	[ˈneɪkəd] <br>裸体的，无掩饰的	红宝书 基础词 Unit08
nail	[neɪl] <br>n.钉子；指甲，爪 ut.把.·..··钉上，钉牢.钉住；使固定，使不动 <br><br>【助记】 他在jail（监狱）里钉nail（钉子）	红宝书 基础词 Unit08
naive	[naɪiv] <br>天真的，幼稚的；朴素的	红宝书 基础词 Unit08
namely	[ˈneɪmli] adv. <br>即，也就是	红宝书 基础词 Unit08
nap	[næp] <br>小睡，打盹 <br><br>【助记】 他nap（打盹）时被人snap（抓住）了	红宝书 基础词 Unit08
naughty	[ˈnɔti] <br>不听话的，坏的，惹麻烦的，刺激人的	红宝书 基础词 Unit08
keen	[kin] <br>锋利的；敏锐的，敏捷的；（on）热心的渴望的 <br><br>【助记】 要keep（保持）keen（敏锐的）眼光	红宝书 基础词 Unit08
keyboard	[ˈkiˌbɔrd] <br>142	红宝书 基础词 Unit08
nit	[nɪt] <br>，斗争）anim（生命，精神）超过”）sacr，sanct（神圣，神圣的）示“打开，解开，弄出”）表示“在旁边”；表示“保护，防护”→键盘 n.（钢琴、电脑等的）键盘 v.用键盘输人；将（信息）键人计算机olabo(u)r[leba(r)] n.工作，劳动；劳工，劳方（总称）；分娩，阵痛 u.劳动；苦干 工宝书 <br><br>【助记】 key（键）十board（板）→可以按键的板	红宝书 基础词 Unit08
lace	[leɪs] <br>n.花边；带子，鞋带 ut.系牢，系紧	红宝书 基础词 Unit08
lack	[læk] vt. <br><br>【助记】 我们很lack（缺乏）lace（鞋带）缺乏，不足	红宝书 基础词 Unit08
lad	[læd] <br>男孩，小伙子 <br><br>【助记】 lady（女士）带着lad（小伙子）	红宝书 基础词 Unit08
lamb	[læm] <br><br>【助记】 有只lame（玻的）lamb（小羊）卧在 lamp（灯）旁羔羊，小羊；羔羊肉	红宝书 基础词 Unit08
lame	[leɪm]	红宝书 基础词 Unit08
machine	[məˈʃin] <br>n.机器，机械 ut.用机器加工，机制 （人或动物）瘤的，跛的；（借口.解释等） 无说服力的，站不住脚的，有缺陷的	红宝书 基础词 Unit08
machinery	[məˈʃinəri] <br>（总称）机械，机器；机构，组织，系统，体制 <br><br>【助记】 machine（机器）十ry（名词后缀）→机器	红宝书 基础词 Unit08
mad	[mæd] <br>发疯的；狂热的，着迷的；生气的 <br><br>【助记】 mad（发疯的）man（男人）拿着map（地 图）坐在mat（地毯）上	红宝书 基础词 Unit08
madam	[ˈmædəm] <br>（sing.）（尊称）女士；夫人；小妇人；自以为是的小姑娘；（妓院的）钨母，老钨	红宝书 基础词 Unit08
magic	[ˈmæʤɪk] <br>n.魔法.魔术，戏法 adj.有魔力的，魔术的	红宝书 基础词 Unit08
magistrate	[ˈmæʤɪˌstreɪt] <br>（兼掌司法权的）行政长官，地方执法官	红宝书 基础词 Unit08
magnet	[ˈmægnət] <br>磁铁，吸铁石；有吸引力的人（或物）	红宝书 基础词 Unit08
magnetic	[mægˈnɛtɪk] <br>有磁性的；有吸引力的 <br><br>【助记】 magnet（磁铁）十ic（形容词后缀）→有磁性的	红宝书 基础词 Unit08
maiden	[ˈmeɪdən] <br>n.少女，处女 adj.未婚的，纯洁的，处女的；无经验的，首次的 <br><br>【助记】 maid（少女，未婚年轻女子）十en（名词后缀，表示人）一少女，处女	红宝书 基础词 Unit08
main	[meɪn] <br>adj.主要的，最重要的	红宝书 基础词 Unit08
mainland	[ˈmeɪnˌlænd] <br>n.（自来水、煤气等的）总管道，（电 流的)干线 <br><br>【助记】 main（主要的）+land（陆地）→大陆大陆	红宝书 基础词 Unit08
oar	[ɔr] <br><br>【助记】 用oak（橡树）来制造oar（桨）桨,橹	红宝书 基础词 Unit08
oath	[oʊθ] <br>誓言，宣誓；咒骂，诅咒语	红宝书 基础词 Unit08
obedience	[oʊˈbidiəns] <br>服从，顺从	红宝书 基础词 Unit08
obedient	[oʊˈbidiənt] <br>服(顺)从的	红宝书 基础词 Unit08
obey	[oʊˈbeɪ] v. <br>服（遵）从；听由，听从摆布	红宝书 基础词 Unit08
obesity	[əˈbisəti] v. <br>肥胖，肥胖症	红宝书 基础词 Unit08
pack	[pæk] <br>n.包，包裹；（一）群，（一）队；大量 .捆扎，打包；塞满，挤满	红宝书 基础词 Unit08
package	[ˈpækɪʤ] <br>n.包装，包裹，箱；一整套东西，一揽子交易 .捆扎，打包，装箱 <br><br>【助记】 pack（包裹）十age（名词后缀，表示物）→包裹	红宝书 基础词 Unit08
pact	[pækt] <br>合同，契约；(盟、公、条）约	红宝书 基础词 Unit08
pad	[pæd] <br>n.垫，衬垫；便笺簿，拍纸簿 u.（用软物填塞，填衬；拉长；虚报	红宝书 基础词 Unit08
paddle	[ˈpædəl] <br>n.短桨；桨状物 ut.涉水；用桨划143·	红宝书 基础词 Unit08
pain	[peɪn] <br>（肉体上的）痛；痛苦；（pl.）努力，劳苦 <br><br>【助记】 这pair（一对）pail（水桶）压得肩膀 pain（痛）	红宝书 基础词 Unit08
painful	[ˈpeɪnfəl] <br>疼痛的，痛苦的 <br><br>【助记】 pain（痛苦）+ful（形容词后缀）→痛苦的	红宝书 基础词 Unit08
paint	[peɪnt] <br>n.油漆；（pl.）颜料 v.涂，涂漆；描绘，描述	红宝书 基础词 Unit08
painter	[ˈpeɪnər] <br>漆工；画家 <br><br>【助记】 paint（涂漆）十er（名词后缀）→漆工	红宝书 基础词 Unit08
pair	[pɛr] <br>n.一对，一双，一副 u.成对，配对	红宝书 基础词 Unit08
pale	[peɪl] <br>苍（灰）白的；淡的，暗淡的 <br><br>【助记】 pale（苍白的）palm（手掌）	红宝书 基础词 Unit08
palm	[pɑm] <br>手掌，掌状物，棕榈	红宝书 基础词 Unit08
pamphlet	[ˈpæmflət] <br>小册子	红宝书 基础词 Unit08
panic	[ˈpænɪk] <br>恐慌，惊慌	红宝书 基础词 Unit08
pant	[pænt] <br>u.气喘，气喘吁吁地说话（或奔跑）渴望 n.气喘，喘息 <br><br>【助记】 他穿着pants（短裤）气喘吁吁地pan（奔跑）	红宝书 基础词 Unit08
paper	[ˈpeɪpər] <br>n.文件；文章，论文②u.裱糊	红宝书 基础词 Unit08
paperback	[ˈpeɪpərˌbæk]	红宝书 基础词 Unit08
parachute	[ˈpɛrəˌʃut] <br>n.降落伞②u.跳伞 面→纸面本 平装本，纸面本 <br><br>【助记】 para（类似）十chute（降落伞）-降落伞	红宝书 基础词 Unit08
parade	[pəreɪd] <br>n.游行，检阅 u.（使）列队行进，（使）游行	红宝书 基础词 Unit08
paradigm	[ˈpɛrəˌdaɪm] <br>典范，范例，样式	红宝书 基础词 Unit08
paradise	[ˈpɛrəˌdaɪs] <br>天堂；乐园；极美的地方	红宝书 基础词 Unit08
paradox	[ˈpɛrəˌdɑks] <br>自相矛盾（的情况）；论，似非而是的论点(隽语) <br><br>【助记】 para（类似）+dox（观点）→隽语	红宝书 基础词 Unit08
parameter	[pərˈæmətər] <br>参数；（限定性的）因素；范围；界限 <br><br>【助记】 para（辅助）十meter（计，表）→辅助的计量→参数	红宝书 基础词 Unit08
parasite	[ˈpɛrəˌsaɪt] <br>寄生虫；依赖他人过活者 <br><br>【助记】 para（在旁边）+site（位置）→依附在主人旁边的位置上→寄生虫	红宝书 基础词 Unit08
parcel	[ˈpɑrsəl] <br>n.包裹，邮包 u.（up）打包，捆扎	红宝书 基础词 Unit08
pardon	[ˈpɑrdən] <br>n.原谅，宽恕；请再说一遍 v.原谅，宽恕，救免	红宝书 基础词 Unit08
parliament	[ˈpɑrləmɛnt] <br>国会，议会 <br><br>【助记】 parlia（parley谈判）十ment（名词后缀，表示地点、方式）→谈判方式→会议	红宝书 基础词 Unit08
sack	[sæk] <br>n.麻袋，纸袋，塑料袋；[the~][口]开除，解雇 .开除，解雇	红宝书 基础词 Unit08
sacred	[ˈseɪkrɪd] <br>神圣的；宗教（性）的，神圣不可侵犯的，庄严的 <br><br>【助记】 sacr（神圣的）十ed（形容词后缀）→神圣的	红宝书 基础词 Unit08
sacrifice	[ˈsækrəˌfaɪs] <br>n.献祭，供奉；祭品，供品；牺牲，放弃 v.牺牲，献出 <br><br>【助记】 sacr（神圣的）十i+fic（做）十e（词尾）→做神圣的东西→祭品	红宝书 基础词 Unit08
saddle	[ˈsædəl] <br>鞍，马鞍，鞍状物	红宝书 基础词 Unit08
sample	[ˈsæmpəl] <br>n.样品，标本 ut.抽样试验，抽样调查（可引申为“品尝、体验”） <br><br>【助记】 ample（丰富的）sample（样品）	红宝书 基础词 Unit08
sanction	[ˈsæŋkʃən] <br>n.批准，同意；制裁；认可，支持，赞许 ut.批准，同意，认可 <br><br>【助记】 sanct（神圣）十ion（名词兼动词后缀）→神圣的东西必须认可→认可	红宝书 基础词 Unit08
sandwich	[ˈsænwɪʧ] <br>n.三明治，夹肉面包 ut.夹人，挤进	红宝书 基础词 Unit08
sane	[seɪn] <br>心智健全的，神志正常的；明智的，稳健的，理智的	红宝书 基础词 Unit08
sarcastic	[sɑrˈkæstɪk] <br>讽刺的，嘲笑的	红宝书 基础词 Unit08
satellite	[ˈsætəˌlaɪt]	红宝书 基础词 Unit08
ugly	[ˈəgli] <br>丑陋的；丑恶的，讨厌的 卫星，人造卫星	红宝书 基础词 Unit08
ultraviolet	[ˌəltrəˈvaɪəlɪt] <br><br>【助记】 ultra（极端）+violet（蓝紫色的）→紫外的紫外(光、线)的	红宝书 基础词 Unit08
umbrella	[ˈəmˌbrɛlə] <br>伞；保护伞	红宝书 基础词 Unit08
unanimous	[juˈnænəməs] <br>全体一致的，一致同意的 <br><br>【助记】 un（uni一）十anim（精神）十ous（形容词后缀）→精神一致的→全体一致的	红宝书 基础词 Unit08
uncover	[ənˈkəvər] vt. <br>揭开，揭露；揭开····的盖子 <br><br>【助记】 un（不）+cover（盖上）→不盖上→揭开	红宝书 基础词 Unit08
vacant	[ˈveɪkənt] <br>（职位、工作等）空缺的；未被占用的；空虚的，茫然的 <br><br>【助记】 vac（空出）十ant（形容词后缀）一空缺的	红宝书 基础词 Unit08
vacation	[veɪˈkeɪʃən] <br><br>【助记】 vac（空出）十ation（名词后缀）一休假休假，假期	红宝书 基础词 Unit08
vaccine	[ˌvækˈsin] <br><br>【助记】 vacc（牛）十ine（名词后缀）→牛痘→疫苗疫苗；菌苗	红宝书 基础词 Unit08
vacuum	[ˈvækjum] <br>真空，真空吸尘器	红宝书 基础词 Unit08
valve	[vælv] <br>阀；（英）电子管，真空管；心脏瓣膜wag(g）on['waegan]n. 运货马车，运货车，篷汽车	红宝书 基础词 Unit08
waist	[weɪst] <br>腰，腰部 <br><br>【助记】 twist（扭动）waist（腰部）和wrist（腕关节）	红宝书 基础词 Unit08
wake	[weɪk] v. <br>醒来，醒着，唤醒；觉醒，醒悟；（使）认识到，（使）意识到；激起，唤起	红宝书 基础词 Unit08
waken	[ˈweɪkən] v. <br>醒来，睡醒；使觉醒，激发，引起X-ray	红宝书 基础词 Unit08
yard	[jɑrd] <br>院子，场地；码	红宝书 基础词 Unit08
yawn	[jɔn] <br>v.打哈欠②n.哈欠；乏味的事情	红宝书 基础词 Unit08
yearly	[ˈjɪrli] <br>adj.每年的，一年一度的 adu.每年，一年一度 <br><br>【助记】 year（年，一年时间，年度）十ly（形容词兼副词后缀）→每年的	红宝书 基础词 Unit08
yell	[jɛl] <br>（at）喊，大叫	红宝书 基础词 Unit08
yet	[jɛt] <br>adu.尚，还，仍然Vanity, haughtiness and arrogan	红宝书 基础词 Unit08
zeal	[zil] <br>热心，热忱，热情	红宝书 基础词 Unit08
zero	[ˈziroʊ] <br>n.零，零点，零度 v.将注意力集中于某人（某事物）上	红宝书 基础词 Unit08
zip	[zɪp] <br>n.拉链；尖啸声，嘘；精神，精力，活力 ut.拉开或拉上；突进，直冲	红宝书 基础词 Unit08
agency	[ˈeɪʤənsi] <br><br>【助记】 agen（t）（代理商）十cy（名词后缀）→代理处代理（处）	红宝书 基础词 Unit08
agenda	[əˈʤɛndə] <br><br>【助记】 ag（做）十enda（名词后缀，表示次序）→做事情的次序→议事日程议事日程	红宝书 基础词 Unit08
